,Unnamed: 0,title,link,keyword
153,153,"Karakteristik Diabetes MODY, Diabetes Tipe Langka yang Serang Usia di Bawah 25 Tahun",https://health.detik.com/berita-detikhealth/d-8221877/karakteristik-diabetes-mody-diabetes-tipe-langka-yang-serang-usia-di-bawah-25-tahun,diabetes
154,154,3 Ciri yang Sering Dikira Capek Biasa Padahal Diabetes Ringan,https://www.detik.com/kalimantan/berita/d-7955069/3-ciri-yang-sering-dikira-capek-biasa-padahal-diabetes-ringan,diabetes
155,155,6 Makanan dan Minuman yang Sebaiknya Dihindari Pengidap Diabetes,https://health.detik.com/berita-detikhealth/d-8009283/6-makanan-dan-minuman-yang-sebaiknya-dihindari-pengidap-diabetes,diabetes
156,156,"Sering Tak Disadari, Begini Gejala Diabetes yang Muncul saat Bangun Tidur",https://health.detik.com/berita-detikhealth/d-8019683/sering-tak-disadari-begini-gejala-diabetes-yang-muncul-saat-bangun-tidur,diabetes
158,158,Waspadai Gejala Diabetes Ringan di Usia 20-an,https://health.detik.com/berita-detikhealth/d-7982208/waspadai-gejala-diabetes-ringan-di-usia-20-an,diabetes
160,160,Catat! Ini 16 Buah yang Baik Dikonsumsi untuk Para Pengidap Diabetes,https://www.detik.com/sumut/berita/d-8009637/catat-ini-16-buah-yang-baik-dikonsumsi-untuk-para-pengidap-diabetes,diabetes
162,162,7 Gejala Diabetes pada Anak yang Sering Dianggap Sepele,https://health.detik.com/berita-detikhealth/d-7952713/7-gejala-diabetes-pada-anak-yang-sering-dianggap-sepele,diabetes
164,164,Gejala Diabetes Awal yang Muncul Saat Bangun Tidur,https://health.detik.com/berita-detikhealth/d-7977303/gejala-diabetes-awal-yang-muncul-saat-bangun-tidur,diabetes
165,165,"Waspada Sering Ngantuk Padahal Cukup Tidur, Bisa Jadi Diabetes",https://www.detik.com/sumut/berita/d-8063716/waspada-sering-ngantuk-padahal-cukup-tidur-bisa-jadi-diabetes,diabetes
166,166,"Bukan Cuma Obesitas, Pemilik Golongan Darah Ini Rentan Kena Diabetes",https://www.detik.com/jabar/berita/d-8357273/bukan-cuma-obesitas-pemilik-golongan-darah-ini-rentan-kena-diabetes,diabetes
167,167,Ciri Diabetes Ringan yang Sering Dikira Capek Biasa,https://health.detik.com/berita-detikhealth/d-7953906/ciri-diabetes-ringan-yang-sering-dikira-capek-biasa,diabetes
168,168,"WHO: Ya, Ada 3 Penyakit yang Lebih Berisiko dari Diabetes",https://health.detik.com/berita-detikhealth/d-7979723/who-ya-ada-3-penyakit-yang-lebih-berisiko-dari-diabetes,diabetes
170,170,"Bukan Cuma Obesitas, Pemilik Golongan Darah Ini Rentan Kena Diabetes",https://www.detik.com/jabar/berita/d-8357273/bukan-cuma-obesitas-pemilik-golongan-darah-ini-rentan-kena-diabetes,diabetes
172,172,"16 Buah yang Baik Dikonsumsi Pengidap Diabetes, Enak dan Mudah Didapat",https://health.detik.com/berita-detikhealth/d-8009605/16-buah-yang-baik-dikonsumsi-pengidap-diabetes-enak-dan-mudah-didapat,diabetes
173,173,"7 Cara Mudah Turunkan Gula Darah, Penderita Diabetes Wajib Tahu",https://www.detik.com/sumut/berita/d-8073070/7-cara-mudah-turunkan-gula-darah-penderita-diabetes-wajib-tahu,diabetes
177,177,Benarkah Wanita Lebih Rentan Kena Diabetes?,https://health.detik.com/berita-detikhealth/d-8212382/benarkah-wanita-lebih-rentan-kena-diabetes,diabetes
179,179,Puluhan Remaja di Bali Terdeteksi Idap Diabetes,https://www.detik.com/bali/berita/d-7911584/puluhan-remaja-di-bali-terdeteksi-idap-diabetes,diabetes
180,180,Puluhan Remaja di Bali Terdeteksi Idap Diabetes,https://www.detik.com/bali/berita/d-7911584/puluhan-remaja-di-bali-terdeteksi-idap-diabetes,diabetes
181,181,8 Gejala Diabetes 'Tak Biasa' yang Muncul di Anak Muda,https://health.detik.com/berita-detikhealth/d-7961723/8-gejala-diabetes-tak-biasa-yang-muncul-di-anak-muda,diabetes
184,184,5 Camilan Sehat Malam Hari yang Aman untuk Penderita Diabetes,https://health.detik.com/berita-detikhealth/d-7988928/5-camilan-sehat-malam-hari-yang-aman-untuk-penderita-diabetes,diabetes
186,186,Luka Susah Sembuh? Bisa Jadi Gejala Diabetes Ringan,https://health.detik.com/berita-detikhealth/d-7977605/luka-susah-sembuh-bisa-jadi-gejala-diabetes-ringan,diabetes
188,188,Sering Bangun Tengah Malam? Ini Sinyal Awal Diabetes,https://health.detik.com/berita-detikhealth/d-7987515/sering-bangun-tengah-malam-ini-sinyal-awal-diabetes,diabetes
189,189,"Terungkap Lewat Studi, Wanita dengan Golongan Darah Ini Lebih Berisiko Kena Diabetes",https://health.detik.com/berita-detikhealth/d-8352309/terungkap-lewat-studi-wanita-dengan-golongan-darah-ini-lebih-berisiko-kena-diabetes,diabetes
190,190,"Viral Dialami Pria Usia 23 di Denpasar, Dokter Ungkap Pemicu Diabetes Tipe 1",https://health.detik.com/berita-detikhealth/d-8383687/viral-dialami-pria-usia-23-di-denpasar-dokter-ungkap-pemicu-diabetes-tipe-1,diabetes
192,192,Kenapa Penyakit Ginjal Baru Ketahuan saat Organ Sudah Nyaris Rusak? Ini Kata Ahli,https://health.detik.com/berita-detikhealth/d-8452464/kenapa-penyakit-ginjal-baru-ketahuan-saat-organ-sudah-nyaris-rusak-ini-kata-ahli,diabetes
193,193,Program Pengelolaan Penyakit Kronis Tingkatkan Harapan Pejuang Diabetes,https://news.detik.com/berita/d-8254827/program-pengelolaan-penyakit-kronis-tingkatkan-harapan-pejuang-diabetes,diabetes
194,194,"Pemuda di Bali Idap Diabetes Tipe 1, Harus Suntik Insulin 4 Kali Sehari",https://www.detik.com/bali/berita/d-8383033/pemuda-di-bali-idap-diabetes-tipe-1-harus-suntik-insulin-4-kali-sehari,diabetes
196,196,"Penyakit Gula Darah Ancam Generasi Muda, Namanya Diabetes Tipe 5",https://www.detik.com/kalimantan/berita/d-7898494/penyakit-gula-darah-ancam-generasi-muda-namanya-diabetes-tipe-5,diabetes
197,197,"Jangan Disepelekan, Kelelahan Seperti Ini Bisa Jadi Tanda Diabetes-Kanker",https://health.detik.com/berita-detikhealth/d-7991149/jangan-disepelekan-kelelahan-seperti-ini-bisa-jadi-tanda-diabetes-kanker,diabetes
198,198,"Cerita Pria Kena Diabetes karena Doyan Ngemil, Kadar Gula Darahnya Hampir 300!",https://health.detik.com/berita-detikhealth/d-7972718/cerita-pria-kena-diabetes-karena-doyan-ngemil-kadar-gula-darahnya-hampir-300,diabetes
200,200,Perhatian Khusus Pemda KBB Bagi Penyakit Diabetes Melitus,https://www.detik.com/jabar/berita/d-8224720/perhatian-khusus-pemda-kbb-bagi-penyakit-diabetes-melitus,diabetes
201,201,Kebiasaan Ini Picu Dosen di Tegal Idap Hipertensi-Diabetes Berujung Sakit Ginjal,https://health.detik.com/berita-detikhealth/d-7967765/kebiasaan-ini-picu-dosen-di-tegal-idap-hipertensi-diabetes-berujung-sakit-ginjal,diabetes
