,title,link,keyword
70,Hari Diabetes Sedunia 14 November 2025: Tema dan Pesan Utamanya,https://news.detik.com/berita/d-8208630/hari-diabetes-sedunia-14-november-2025-tema-dan-pesan-utamanya,diabetes
71,"Tak Sekedar Kadar Gula Tinggi, Ini Deretan Komplikasi Fatal Diabetes",https://health.detik.com/berita-detikhealth/d-8180480/tak-sekedar-kadar-gula-tinggi-ini-deretan-komplikasi-fatal-diabetes,diabetes
72,Kabar Baik dari Ilmuwan Harvard! Ada Cara Baru Atasi Diabetes-Obesitas,https://health.detik.com/berita-detikhealth/d-8262571/kabar-baik-dari-ilmuwan-harvard-ada-cara-baru-atasi-diabetes-obesitas,diabetes
73,Sering Makan Mie Instan? Dokter Ungkap Fakta Soal Risiko Diabetes,https://food.detik.com/info-sehat/d-8180701/sering-makan-mie-instan-dokter-ungkap-fakta-soal-risiko-diabetes,diabetes
74,Mengapa Trump Bakal Tolak Orang Diabetes-Obesitas Masuk AS?,https://news.detik.com/internasional/d-8212920/mengapa-trump-bakal-tolak-orang-diabetes-obesitas-masuk-as,diabetes
75,Video: Emilia Contessa Meninggal Usai Idap Diabetes dan Gagal Jantung,https://20.detik.com/detikupdate/20250127-250127088/video-emilia-contessa-meninggal-usai-idap-diabetes-dan-gagal-jantung,diabetes
76,Perintah Baru Trump: Pemohon Visa yang Obesitas-Diabetes Bakal Ditolak,https://www.detik.com/kalimantan/berita/d-8211954/perintah-baru-trump-pemohon-visa-yang-obesitas-diabetes-bakal-ditolak,diabetes
77,"5 Tanda Tersembunyi saat Gula Darah Tak Terkontrol, Waspada kena Diabetes",https://health.detik.com/berita-detikhealth/d-8212772/5-tanda-tersembunyi-saat-gula-darah-tak-terkontrol-waspada-kena-diabetes,diabetes
78,"Ancaman Gula Berlebih: Manis Sesaat, Diabetes Sepanjang Hayat",https://health.detik.com/berita-detikhealth/d-8185504/ancaman-gula-berlebih-manis-sesaat-diabetes-sepanjang-hayat,diabetes
79,Keseruan Poundfit #BeatDiabetes Tropicana Slim Bareng Donna Agnesia,https://health.detik.com/fotohealth/d-7866772/keseruan-poundfit-beatdiabetes-tropicana-slim-bareng-donna-agnesia,diabetes
80,Amerika Serikat Tolak Pemohon Visa yang Obesitas dan Diabetes,https://www.detik.com/jabar/berita/d-8211947/amerika-serikat-tolak-pemohon-visa-yang-obesitas-dan-diabetes,diabetes
81,"Fakta-fakta Wanita Asal Surabaya Idap Diabetes Tipe 1,5 di Usia 29",https://health.detik.com/diet/d-8276675/fakta-fakta-wanita-asal-surabaya-idap-diabetes-tipe-1-5-di-usia-29,diabetes
82,Gula Darah Sering Naik-Turun? Produk Ini Bisa Bantu Penderita Diabetes,https://health.detik.com/berita-detikhealth/d-8192081/gula-darah-sering-naik-turun-produk-ini-bisa-bantu-penderita-diabetes,diabetes
83,"Jangan Abaikan Penyakit Diabetes, Dokter Ungkap Komplikasi Serius yang Bisa Menyertai",https://health.detik.com/berita-detikhealth/d-8188580/jangan-abaikan-penyakit-diabetes-dokter-ungkap-komplikasi-serius-yang-bisa-menyertai,diabetes
84,"Cerita Wanita Surabaya Idap Diabetes di Usia 29, Inikah Pemicunya?",https://health.detik.com/berita-detikhealth/d-8269324/cerita-wanita-surabaya-idap-diabetes-di-usia-29-inikah-pemicunya,diabetes
85,Sering Ngantuk Meski Tidur Cukup? Hati-hati Diabetes,https://health.detik.com/berita-detikhealth/d-8063663/sering-ngantuk-meski-tidur-cukup-hati-hati-diabetes,diabetes
86,"Diabetes Tak Selalu Bergejala, Ini Saran Dokter Buat yang Doyan Manis",https://health.detik.com/berita-detikhealth/d-8188008/diabetes-tak-selalu-bergejala-ini-saran-dokter-buat-yang-doyan-manis,diabetes
87,Video: Ibnu Jamil Ungkap Ibundanya Memiliki Riwayat Penyakit Diabetes,https://20.detik.com/detikupdate/20250115-250115109/video-ibnu-jamil-ungkap-ibundanya-memiliki-riwayat-penyakit-diabetes,diabetes
88,"Dewasa Muda Kena Diabetes Makin Marak, Beban BPJS Kesehatan Makin Berat",https://www.detik.com/kalimantan/berita/d-8180507/dewasa-muda-kena-diabetes-makin-marak-beban-bpjs-kesehatan-makin-berat,diabetes
89,Alasan Trump Perketat Aturan Visa Bagi Pemohon yang Obesitas hingga Diabetes,https://health.detik.com/berita-detikhealth/d-8212433/alasan-trump-perketat-aturan-visa-bagi-pemohon-yang-obesitas-hingga-diabetes,diabetes
90,Kenapa Pengidap Diabetes Tak Disarankan Minum Jus Buah?,https://www.detik.com/sumut/berita/d-8214368/kenapa-pengidap-diabetes-tak-disarankan-minum-jus-buah,diabetes
91,Begini Prinsip Penanganan Diabetes dan Hubungannya Terhadap Syaraf,https://health.detik.com/fotohealth/d-7197509/begini-prinsip-penanganan-diabetes-dan-hubungannya-terhadap-syaraf,diabetes
92,"Kemenkes Bicara Kebiasaan Minum Manis Warga +62, Penyumbang 30 Persen Kasus Diabetes",https://health.detik.com/berita-detikhealth/d-8188591/kemenkes-bicara-kebiasaan-minum-manis-warga-62-penyumbang-30-persen-kasus-diabetes,diabetes
93,Wamenkes Soroti Obat Bahan Alam RI yang Bisa untuk Pasien Stroke-Diabetes,https://health.detik.com/berita-detikhealth/d-8255509/wamenkes-soroti-obat-bahan-alam-ri-yang-bisa-untuk-pasien-stroke-diabetes,diabetes
94,"Gaya Hidup Manis Picu Diabetes Dini, Ini Ciri-cirinya",https://www.detik.com/jatim/berita/d-8063649/gaya-hidup-manis-picu-diabetes-dini-ini-ciri-cirinya,diabetes
95,"Video: Cerita Dibalik Nama Unik Anak Anne-Marie, Terinspirasi dari Diabetes",https://20.detik.com/detikupdate/20251018-251018040/video-cerita-dibalik-nama-unik-anak-anne-marie-terinspirasi-dari-diabetes,diabetes
96,Yang Diabetes hingga Obesitas Ditolak Trump Masuk ke AS,https://news.detik.com/internasional/d-8212553/yang-diabetes-hingga-obesitas-ditolak-trump-masuk-ke-as,diabetes
97,Gatal-gatal Nggak Sembuh? Mungkin Bukan Penyakit Kulit tapi Kena Diabetes,https://health.detik.com/berita-detikhealth/d-8213273/gatal-gatal-nggak-sembuh-mungkin-bukan-penyakit-kulit-tapi-kena-diabetes,diabetes
98,Awas Ini 7 Pantangan Makanan dan Minuman Bagi Penderita Diabetes!,https://www.detik.com/sumut/berita/d-8250979/awas-ini-7-pantangan-makanan-dan-minuman-bagi-penderita-diabetes,diabetes
99,Peringatan Hari Diabetes Sedunia: Langkah Sehat Bersama Tropicana Slim,https://20.detik.com/special-coverage/20241126-241126074/peringatan-hari-diabetes-sedunia-langkah-sehat-bersama-tropicana-slim,diabetes
100,"Kemenkes Soroti Lingkungan 'Obesogenik', Bikin Gen Z Gampang Kena Diabetes!",https://health.detik.com/berita-detikhealth/d-8188182/kemenkes-soroti-lingkungan-obesogenik-bikin-gen-z-gampang-kena-diabetes,diabetes
101,"Cerita Cipa, Idap Diabetes di Usia 29 Tahun Akibat Gaya Hidup",https://www.detik.com/jabar/berita/d-8269448/cerita-cipa-idap-diabetes-di-usia-29-tahun-akibat-gaya-hidup,diabetes
102,"Pasien Diabetes Makin Muda, Dokter Wanti-wanti Gen Z yang Doyan Jajan Manis",https://health.detik.com/berita-detikhealth/d-8187683/pasien-diabetes-makin-muda-dokter-wanti-wanti-gen-z-yang-doyan-jajan-manis,diabetes
103,Yuk! Cegah Diabetes Sejak Dini,https://health.detik.com/fotohealth/d-7144697/yuk-cegah-diabetes-sejak-dini,diabetes
104,Bolehkah Penderita Diabetes Makan Buah? Simak Fakta dan Tipsnya,https://health.detik.com/berita-detikhealth/d-8108877/bolehkah-penderita-diabetes-makan-buah-simak-fakta-dan-tipsnya,diabetes
105,"Anak Muda Ternyata Tetap Bisa Terkena Diabetes, Begini Cara Cegahnya",https://health.detik.com/berita-detikhealth/d-8124850/anak-muda-ternyata-tetap-bisa-terkena-diabetes-begini-cara-cegahnya,diabetes
106,"Gaya Hidup vs Genetik, Dokter Jelaskan Mana yang Lebih Berperan Picu Diabetes",https://health.detik.com/berita-detikhealth/d-8214960/gaya-hidup-vs-genetik-dokter-jelaskan-mana-yang-lebih-berperan-picu-diabetes,diabetes
107,"Rutin Cek Gula Darah, Upaya Sederhana Jaga Tubuh dari Diabetes",https://health.detik.com/berita-detikhealth/d-8120876/rutin-cek-gula-darah-upaya-sederhana-jaga-tubuh-dari-diabetes,diabetes
108,Apakah Pengidap Diabetes Boleh Konsumsi Mangga? Begini Penjelasan Studi,https://health.detik.com/berita-detikhealth/d-8170190/apakah-pengidap-diabetes-boleh-konsumsi-mangga-begini-penjelasan-studi,diabetes
109,Maestro Dalang Ki Anom Suroto Wafat Akibat Serangan Jantung-Diabetes,https://www.detik.com/jatim/budaya/d-8174244/maestro-dalang-ki-anom-suroto-wafat-akibat-serangan-jantung-diabetes,diabetes
110,"Cerita Wanita Surabaya Tak Sadar Kena Diabetes di Usia 29, Doyan Jajanan Viral",https://health.detik.com/berita-detikhealth/d-8269680/cerita-wanita-surabaya-tak-sadar-kena-diabetes-di-usia-29-doyan-jajanan-viral,diabetes
111,Video: Pengidap Diabetes Dianjurkan Olahraga 150 Menit per Minggu,https://20.detik.com/detikupdate/20241123-241123074/video-pengidap-diabetes-dianjurkan-olahraga-150-menit-per-minggu,diabetes
112,"FDA Wanti-wanti Risiko Salah Baca Alat Monitor Gula Darah, 7 Pasien Diabetes Meninggal",https://health.detik.com/berita-detikhealth/d-8247783/fda-wanti-wanti-risiko-salah-baca-alat-monitor-gula-darah-7-pasien-diabetes-meninggal,diabetes
113,7 Perubahan Pada Tubuh yang Menjadi 'Sinyal' Tanda Awal Diabetes,https://health.detik.com/berita-detikhealth/d-8154755/7-perubahan-pada-tubuh-yang-menjadi-sinyal-tanda-awal-diabetes,diabetes
114,Hati-hati! Dokter Bilang Kebiasaan Tidur Seperti Ini Bisa Tingkatkan Risiko Diabetes,https://health.detik.com/berita-detikhealth/d-8217293/hati-hati-dokter-bilang-kebiasaan-tidur-seperti-ini-bisa-tingkatkan-risiko-diabetes,diabetes
115,Minuman Berpemanis Bakal Kena Cukai Demi Cegah Prevalensi Diabetes,https://finance.detik.com/foto-bisnis/d-7090319/minuman-berpemanis-bakal-kena-cukai-demi-cegah-prevalensi-diabetes,diabetes
116,Dokter Mayapada Hospital Siaga 24 Jam Tangani Komplikasi Akut Diabetes,https://health.detik.com/berita-detikhealth/d-8126776/dokter-mayapada-hospital-siaga-24-jam-tangani-komplikasi-akut-diabetes,diabetes
117,Apakah Air Kelapa Boleh Dikonsumsi Pengidap Diabetes?,https://health.detik.com/berita-detikhealth/d-8078951/apakah-air-kelapa-boleh-dikonsumsi-pengidap-diabetes,diabetes
118,Alert! Wamenkes Soroti Makin Banyak Anak Muda di Bawah Umur 20-an Kena Diabetes,https://health.detik.com/berita-detikhealth/d-8221664/alert-wamenkes-soroti-makin-banyak-anak-muda-di-bawah-umur-20-an-kena-diabetes,diabetes
119,Dinkes Sebut Siswi SD di Lubuklinggau Terindikasi Diabetes Kembali Normal,https://www.detik.com/sumbagsel/berita/d-8096659/dinkes-sebut-siswi-sd-di-lubuklinggau-terindikasi-diabetes-kembali-normal,diabetes
120,"Penyakit Diabetes Hantui Anak Muda, Ini Ciri & Cara Cegahnya",https://health.detik.com/berita-detikhealth/d-8063645/penyakit-diabetes-hantui-anak-muda-ini-ciri-cara-cegahnya,diabetes
121,5 Sayuran Penurun Gula Darah yang Aman untuk Pengidap Diabetes,https://www.detik.com/jabar/kuliner/d-8211856/5-sayuran-penurun-gula-darah-yang-aman-untuk-pengidap-diabetes,diabetes
122,"Gatal Bisa Jadi Salah Satu Gejala Diabetes, Seperti Ini Ciri-cirinya",https://health.detik.com/berita-detikhealth/d-8194364/gatal-bisa-jadi-salah-satu-gejala-diabetes-seperti-ini-ciri-cirinya,diabetes
123,Video: Indonesia Jadi Negara Kelima di Dunia dengan Pasien Diabetes Terbanyak,https://20.detik.com/detikupdate/20241122-241122109/video-indonesia-jadi-negara-kelima-di-dunia-dengan-pasien-diabetes-terbanyak,diabetes
124,"Nikmat Sesaat, Bahaya Seumur Hidup: Awas Diabetes Mengintai!",https://health.detik.com/berita-detikhealth/d-8015548/nikmat-sesaat-bahaya-seumur-hidup-awas-diabetes-mengintai,diabetes
125,"Kronologi Wanita Surabaya Idap Diabetes di Usia 29 Tahun, Sempat Koma 12 Hari",https://health.detik.com/berita-detikhealth/d-8269901/kronologi-wanita-surabaya-idap-diabetes-di-usia-29-tahun-sempat-koma-12-hari,diabetes
126,"Siasat BPOM Bantu Tekan Angka Diabetes di Indonesia, Siapkan Label Nutri-Level",https://health.detik.com/berita-detikhealth/d-8188098/siasat-bpom-bantu-tekan-angka-diabetes-di-indonesia-siapkan-label-nutri-level,diabetes
127,Infografis: Herbal Antiobesitas-Antidiabetes Hasil Riset Profesor IPB,https://www.detik.com/edu/foto/d-7014166/infografis-herbal-antiobesitas-antidiabetes-hasil-riset-profesor-ipb,diabetes
